Main ID,Incident ID,Incident Type,Region of Incident,Website Date,Number of Dead,Country of Origin,Region of Origin,UNSD Geographical Grouping,Incident year,Number of Missing
2019.MMP00075,2019.MMP00075,Incident,Western Africa,21/1/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00076,2019.MMP00076,Incident,North America,21/1/2019,1,Unknown,Latin America / Caribbean (P),Northern America,2019,0
2019.MMP00077,2019.MMP00077,Incident,North America,21/1/2019,1,Unknown,Latin America / Caribbean (P),Northern America,2019,0
2019.MMP00078,2019.MMP00078,Incident,North America,21/1/2019,1,Unknown,Latin America / Caribbean (P),Northern America,2019,0
2019.MMP00079,2019.MMP00079,Incident,North America,21/1/2019,1,Unknown,Latin America / Caribbean (P),Northern America,2019,0
2019.MMP00080,2019.MMP00080,Incident,North America,21/1/2019,1,Unknown,Latin America / Caribbean (P),Northern America,2019,0
2019.MMP00081,2019.MMP00081,Incident,Mediterranean,21/1/2019,1,Unknown,Unknown,Uncategorized,2019,6
2019.MMP00082,2019.MMP00082,Incident,Central America,21/1/2019,1,El Salvador,Central America,Central America,2019,0
2019.MMP00083,2019.MMP00083,Incident,Mediterranean,21/1/2019,1,Algeria,Northern Africa,Uncategorized,2019,1
2019.MMP00084,2019.MMP00084,Incident,South-eastern Asia,22/1/2019,4,Myanmar,Southern Asia,South-eastern Asia,2019,0
2019.MMP00085,2019.MMP00085,Incident,Central America,22/1/2019,1,Unknown,Latin America / Caribbean (P),Central America,2019,0
2019.MMP00086,2019.MMP00086,Incident,Mediterranean,22/1/2019,1,Algeria,Northern Africa,Uncategorized,2019,0
2019.MMP00087,2019.MMP00087,Incident,Western Africa,22/1/2019,2,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00088,2019.MMP00088,Incident,Northern Africa,22/1/2019,2,Unknown,Sub-Saharan Africa (P),Northern Africa,2019,0
2019.MMP00089,2019.MMP00089,Incident,Western Africa,22/1/2019,2,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00090,2019.MMP00090,Incident,Northern Africa,23/1/2019,2,Unknown,Unknown,Northern Africa,2019,0
2019.MMP00091,2019.MMP00091,Incident,Northern Africa,23/1/2019,2,Unknown,Unknown,Northern Africa,2019,0
2019.MMP00092,2019.MMP00092,Incident,Western Africa,23/1/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00093,2019.MMP00093,Incident,Western Africa,23/1/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00094,2019.MMP00094,Incident,North America,23/1/2019,1,Guatemala,Central America,Northern America,2019,0
2019.MMP00095,2019.MMP00095,Incident,North America,23/1/2019,1,Unknown,Latin America / Caribbean (P),Northern America,2019,0
2019.MMP00096,2019.MMP00096,Incident,North America,23/1/2019,1,Unknown,Latin America / Caribbean (P),Northern America,2019,0
2019.MMP00097,2019.MMP00097,Incident,Eastern Africa,23/1/2019,1,Unknown,Eastern Africa (P),Eastern Africa,2019,0
2019.MMP00099,2019.MMP00099,Incident,Central America,24/1/2019,2,Guatemala,Central America,Central America,2019,0
2019.MMP00100,2019.MMP00100,Incident,Central America,24/1/2019,1,Unknown,Latin America / Caribbean (P),Central America,2019,0
2019.MMP00101,2019.MMP00101,Incident,North America,24/1/2019,1,Guatemala,Central America,Northern America,2019,0
2019.MMP00102,2019.MMP00102,Incident,Northern Africa,24/1/2019,1,Unknown,Unknown,Northern Africa,2019,0
2019.MMP00103,2019.MMP00103,Incident,Northern Africa,24/1/2019,1,Unknown,Unknown,Northern Africa,2019,0
2019.MMP00104,2019.MMP00104,Incident,Western Africa,24/1/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00105,2019.MMP00105,Incident,Western Africa,24/1/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00106,2019.MMP00106,Incident,Western Africa,24/1/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00107,2019.MMP00107,Incident,Western Africa,24/1/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00108,2019.MMP00108,Incident,Western Africa,24/1/2019,2,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00109,2019.MMP00109,Incident,Western Africa,25/1/2019,1,Unknown,Unknown,Western Africa,2019,0
2019.MMP00110,2019.MMP00110,Incident,Northern Africa,25/1/2019,2,Unknown,Unknown,Northern Africa,2019,0
2019.MMP00111,2019.MMP00111,Incident,Western Africa,25/1/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00112,2019.MMP00112,Incident,Western Asia,25/1/2019,1,Syrian Arab Republic,Western Asia,Western Asia,2019,0
2019.MMP00113,2019.MMP00113,Incident,Central America,25/1/2019,1,Unknown,Latin America / Caribbean (P),Central America,2019,0
2019.MMP00114,2019.MMP00114,Incident,North America,26/1/2019,1,Unknown,Latin America / Caribbean (P),Northern America,2019,0
2019.MMP00115,2019.MMP00115,Incident,Central America,26/1/2019,1,Ukraine,Europe,Central America,2019,0
2019.MMP00116,2019.MMP00116,Incident,North America,26/1/2019,1,Mexico,Central America,Northern America,2019,0
2019.MMP00117,2019.MMP00117,Incident,Central America,28/1/2019,1,Honduras,Central America,Central America,2019,0
2019.MMP00118,2019.MMP00118,Incident,South America,28/1/2019,19,Unknown,Sub-Saharan Africa (P),South America,2019,5
2019.MMP00119,2019.MMP00119,Incident,Central America,28/1/2019,2,Mexico,Central America,Central America,2019,1
2019.MMP00120,2019.MMP00120,Incident,Central America,28/1/2019,1,Honduras,Central America,Central America,2019,0
2019.MMP00121,2019.MMP00121,Incident,Eastern Africa,29/1/2019,52,Ethiopia,Eastern Africa,Uncategorized,2019,18
2019.MMP00125,2019.MMP00125,Incident,North America,30/1/2019,1,Unknown,Latin America / Caribbean (P),Northern America,2019,0
2019.MMP00126,2019.MMP00126,Incident,Western Africa,30/1/2019,2,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00127,2019.MMP00127,Incident,Western Africa,30/1/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
